Restaurant_Location,date_time,number_of_orders,percentage_of_delivery_orders
Flatiron,28-02-2018,1016,0.090551181
Flatiron,01-03-2018,985,0.089340102
Flatiron,02-03-2018,969,0.134158927
Flatiron,03-03-2018,517,0.098646035
Flatiron,04-03-2018,498,0.070281124
Flatiron,05-03-2018,958,0.106471816
Flatiron,06-03-2018,966,0.097308489
Flatiron,07-03-2018,916,0.127729258
Flatiron,08-03-2018,953,0.093389297
Flatiron,09-03-2018,985,0.108629442
Flatiron,10-03-2018,486,0.12345679
Flatiron,11-03-2018,517,0.098646035
Flatiron,12-03-2018,947,0.089757128
Flatiron,13-03-2018,938,0.119402985
Flatiron,14-03-2018,973,0.123329908
Flatiron,15-03-2018,1011,0.09297725
Flatiron,16-03-2018,944,0.110169492
Flatiron,17-03-2018,495,0.088888889
Flatiron,18-03-2018,547,0.084095064
Flatiron,19-03-2018,952,0.119747899
Flatiron,20-03-2018,973,0.130524152
Flatiron,21-03-2018,943,0.119830329
Flatiron,22-03-2018,938,0.102345416
Flatiron,23-03-2018,983,0.092573754
Flatiron,24-03-2018,509,0.096267191
Flatiron,25-03-2018,479,0.096033403
Flatiron,26-03-2018,947,0.087645195
Flatiron,27-03-2018,975,0.103589744
Flatiron,28-03-2018,962,0.085239085
Flatiron,29-03-2018,944,0.082627119
Flatiron,30-03-2018,945,0.082539683
Flatiron,31-03-2018,532,0.071428571
Flatiron,01-04-2018,535,0.061682243
Flatiron,02-04-2018,963,0.109034268
Flatiron,03-04-2018,900,0.106666667
Flatiron,04-04-2018,965,0.074611399
Flatiron,05-04-2018,948,0.094936709
Flatiron,06-04-2018,959,0.092805005
Flatiron,07-04-2018,511,0.080234834
Flatiron,08-04-2018,499,0.108216433
Flatiron,09-04-2018,1002,0.105788423
Flatiron,10-04-2018,971,0.096807415
Flatiron,11-04-2018,892,0.088565022
Flatiron,12-04-2018,962,0.082120582
Flatiron,13-04-2018,896,0.083705357
Flatiron,14-04-2018,527,0.089184061
Flatiron,15-04-2018,518,0.106177606
Flatiron,16-04-2018,995,0.086432161
Flatiron,17-04-2018,925,0.085405405
Flatiron,18-04-2018,928,0.088362069
Flatiron,19-04-2018,919,0.095756257
Flatiron,20-04-2018,936,0.083333333
Flatiron,21-04-2018,552,0.059782609
Flatiron,22-04-2018,465,0.079569892
Flatiron,23-04-2018,896,0.078125
Flatiron,24-04-2018,901,0.102108768
Flatiron,25-04-2018,930,0.102150538
Flatiron,26-04-2018,914,0.099562363
Flatiron,27-04-2018,911,0.080131723
Flatiron,28-04-2018,542,0.077490775
Flatiron,29-04-2018,495,0.062626263
Flatiron,30-04-2018,919,0.104461371
Flatiron,01-05-2018,854,0.081967213
Flatiron,02-05-2018,857,0.091015169
Flatiron,03-05-2018,839,0.10488677
Flatiron,04-05-2018,857,0.109684947
Flatiron,05-05-2018,507,0.076923077
Flatiron,06-05-2018,501,0.055888224
Flatiron,07-05-2018,968,0.092975207
Flatiron,08-05-2018,915,0.087431694
Flatiron,09-05-2018,875,0.102857143
Flatiron,10-05-2018,905,0.087292818
Flatiron,11-05-2018,893,0.097424412
Flatiron,12-05-2018,555,0.086486486
Flatiron,13-05-2018,503,0.089463221
Flatiron,14-05-2018,875,0.085714286
Flatiron,15-05-2018,825,0.106666667
Flatiron,16-05-2018,946,0.085623679
Flatiron,17-05-2018,922,0.101952278
Flatiron,18-05-2018,921,0.091205212
Flatiron,19-05-2018,486,0.12345679
Flatiron,20-05-2018,436,0.082568807
Flatiron,21-05-2018,872,0.088302752
Flatiron,22-05-2018,899,0.095661846
Flatiron,23-05-2018,924,0.083333333
Flatiron,24-05-2018,871,0.096440873
Flatiron,25-05-2018,818,0.101466993
Flatiron,26-05-2018,406,0.093596059
Flatiron,27-05-2018,512,0.072265625
Flatiron,28-05-2018,508,0.078740157
Flatiron,29-05-2018,838,0.114558473
Flatiron,30-05-2018,868,0.099078341
Flatiron,31-05-2018,917,0.083969466
Flatiron,01-06-2018,824,0.109223301
Flatiron,02-06-2018,417,0.110311751
Flatiron,03-06-2018,501,0.083832335
Flatiron,04-06-2018,881,0.105561862
Flatiron,05-06-2018,851,0.097532315
Flatiron,06-06-2018,862,0.096287703
Flatiron,07-06-2018,865,0.095953757
Flatiron,08-06-2018,837,0.109916368
Flatiron,09-06-2018,456,0.085526316
Flatiron,10-06-2018,498,0.09437751
Flatiron,11-06-2018,860,0.108139535
Flatiron,12-06-2018,843,0.073546856
Flatiron,13-06-2018,841,0.104637337
Flatiron,14-06-2018,815,0.084662577
Flatiron,15-06-2018,843,0.09252669
Flatiron,16-06-2018,415,0.120481928
Flatiron,17-06-2018,420,0.1
Flatiron,18-06-2018,783,0.098339719
Flatiron,19-06-2018,801,0.109862672
Flatiron,20-06-2018,788,0.101522843
Flatiron,21-06-2018,834,0.133093525
Flatiron,22-06-2018,853,0.100820633
Flatiron,23-06-2018,504,0.081349206
Flatiron,24-06-2018,684,0.054093567
Flatiron,25-06-2018,850,0.097647059
Flatiron,26-06-2018,869,0.097813579
Flatiron,27-06-2018,876,0.109589041
Flatiron,28-06-2018,841,0.109393579
Flatiron,29-06-2018,799,0.153942428
Flatiron,30-06-2018,396,0.133838384
Flatiron,01-07-2018,406,0.128078818
Flatiron,02-07-2018,742,0.118598383
Flatiron,03-07-2018,778,0.115681234
Flatiron,04-07-2018,462,0.0995671
Flatiron,05-07-2018,774,0.103359173
Flatiron,06-07-2018,837,0.08004779
Flatiron,07-07-2018,448,0.080357143
Flatiron,08-07-2018,418,0.112440191
Flatiron,09-07-2018,774,0.121447028
Flatiron,10-07-2018,770,0.118181818
Flatiron,11-07-2018,770,0.131168831
Flatiron,12-07-2018,786,0.129770992
Flatiron,13-07-2018,816,0.100490196
Flatiron,14-07-2018,374,0.117647059
Flatiron,15-07-2018,428,0.10046729
Flatiron,16-07-2018,746,0.104557641
Flatiron,17-07-2018,830,0.120481928
Flatiron,18-07-2018,788,0.097715736
Flatiron,19-07-2018,849,0.102473498
Flatiron,20-07-2018,836,0.094497608
Flatiron,21-07-2018,453,0.077262693
Flatiron,22-07-2018,446,0.114349776
Flatiron,23-07-2018,782,0.109974425
Flatiron,24-07-2018,779,0.107830552
Flatiron,25-07-2018,828,0.099033816
Flatiron,26-07-2018,792,0.106060606
Flatiron,27-07-2018,837,0.129032258
Flatiron,28-07-2018,401,0.102244389
Flatiron,29-07-2018,448,0.091517857
Flatiron,30-07-2018,808,0.102722772
Flatiron,31-07-2018,827,0.100362757
Flatiron,01-08-2018,783,0.106002554
Flatiron,02-08-2018,811,0.110974106
Flatiron,03-08-2018,786,0.091603053
Flatiron,04-08-2018,472,0.13559322
Flatiron,05-08-2018,386,0.116580311
Flatiron,06-08-2018,781,0.102432778
Flatiron,07-08-2018,777,0.117117117
Flatiron,08-08-2018,786,0.108142494
Flatiron,09-08-2018,767,0.097783572
Flatiron,10-08-2018,759,0.123847167
Flatiron,11-08-2018,492,0.091463415
Flatiron,12-08-2018,437,0.114416476
Flatiron,13-08-2018,879,0.103526735
Flatiron,14-08-2018,783,0.114942529
Flatiron,15-08-2018,756,0.088624339
Flatiron,16-08-2018,774,0.105943152
Flatiron,17-08-2018,791,0.108723135
Flatiron,18-08-2018,433,0.103926097
Flatiron,19-08-2018,489,0.083844581
Flatiron,20-08-2018,858,0.092074592
Flatiron,21-08-2018,853,0.124267292
Flatiron,22-08-2018,806,0.099255583
Flatiron,23-08-2018,858,0.104895105
Flatiron,24-08-2018,871,0.106773823
Flatiron,25-08-2018,450,0.102222222
Flatiron,26-08-2018,448,0.098214286
Flatiron,27-08-2018,790,0.098734177
Flatiron,28-08-2018,731,0.11627907
Flatiron,29-08-2018,710,0.104225352
Flatiron,30-08-2018,752,0.114361702
Flatiron,31-08-2018,882,0.108843537
Flatiron,01-09-2018,488,0.081967213
Flatiron,02-09-2018,459,0.128540305
Flatiron,03-09-2018,396,0.090909091
Flatiron,04-09-2018,749,0.110814419
Flatiron,05-09-2018,769,0.123537061
Flatiron,06-09-2018,774,0.130490956
Flatiron,07-09-2018,869,0.095512083
Flatiron,08-09-2018,474,0.067510549
Flatiron,09-09-2018,520,0.073076923
Flatiron,10-09-2018,892,0.097533632
Flatiron,11-09-2018,851,0.085781434
Flatiron,12-09-2018,863,0.085747393
Flatiron,13-09-2018,925,0.094054054
Flatiron,14-09-2018,854,0.099531616
Flatiron,15-09-2018,480,0.089583333
Flatiron,16-09-2018,504,0.123015873
Flatiron,17-09-2018,817,0.11627907
Flatiron,18-09-2018,838,0.118138425
Flatiron,19-09-2018,832,0.118990385
Flatiron,20-09-2018,912,0.094298246
Flatiron,21-09-2018,848,0.106132075
Flatiron,22-09-2018,488,0.092213115
Flatiron,23-09-2018,497,0.092555332
Flatiron,24-09-2018,869,0.082853855
Flatiron,25-09-2018,848,0.119103774
Flatiron,26-09-2018,823,0.111786148
Flatiron,27-09-2018,879,0.105802048
Flatiron,28-09-2018,892,0.085201794
Flatiron,29-09-2018,523,0.087954111
Flatiron,30-09-2018,514,0.071984436
Flatiron,01-10-2018,886,0.093679458
Flatiron,02-10-2018,905,0.093922652
Flatiron,03-10-2018,916,0.087336245
Flatiron,04-10-2018,889,0.102362205
Flatiron,05-10-2018,986,0.105476673
Flatiron,06-10-2018,492,0.083333333
Flatiron,07-10-2018,493,0.093306288
Flatiron,08-10-2018,505,0.110891089
Flatiron,09-10-2018,893,0.090705487
Flatiron,10-10-2018,939,0.112886049
Flatiron,11-10-2018,886,0.132054176
Flatiron,12-10-2018,920,0.090217391
Flatiron,13-10-2018,498,0.078313253
Flatiron,14-10-2018,520,0.084615385
Flatiron,15-10-2018,949,0.085353003
Flatiron,16-10-2018,964,0.096473029
Flatiron,17-10-2018,897,0.094760312
Flatiron,18-10-2018,977,0.096212897
Flatiron,19-10-2018,967,0.08893485
Flatiron,20-10-2018,525,0.08
Flatiron,21-10-2018,502,0.09561753
Flatiron,22-10-2018,962,0.09043659
Flatiron,23-10-2018,910,0.084615385
Flatiron,24-10-2018,995,0.097487437
Flatiron,25-10-2018,931,0.084854995
Flatiron,26-10-2018,943,0.092258749
Flatiron,27-10-2018,509,0.104125737
Flatiron,28-10-2018,496,0.092741935
Flatiron,29-10-2018,993,0.073514602
Flatiron,30-10-2018,973,0.079136691
Flatiron,31-10-2018,966,0.093167702
Flatiron,01-11-2018,902,0.094235033
Flatiron,02-11-2018,958,0.091858038
Flatiron,03-11-2018,517,0.083172147
Flatiron,04-11-2018,513,0.089668616
Flatiron,05-11-2018,906,0.086092715
Flatiron,06-11-2018,1008,0.109126984
Flatiron,07-11-2018,917,0.090512541
Flatiron,08-11-2018,948,0.098101266
Flatiron,09-11-2018,953,0.113326338
Flatiron,10-11-2018,532,0.105263158
Flatiron,11-11-2018,545,0.08440367
Flatiron,12-11-2018,481,0.072765073
Flatiron,13-11-2018,985,0.104568528
Flatiron,14-11-2018,932,0.100858369
Flatiron,15-11-2018,923,0.134344529
Flatiron,16-11-2018,899,0.100111235
Flatiron,17-11-2018,497,0.084507042
Flatiron,18-11-2018,528,0.098484848
Flatiron,19-11-2018,943,0.073170732
Flatiron,20-11-2018,959,0.100104275
Flatiron,21-11-2018,968,0.118801653
Flatiron,22-11-2018,456,0.140350877
Flatiron,23-11-2018,942,0.116772824
Flatiron,24-11-2018,559,0.123434705
Flatiron,25-11-2018,539,0.092764378
Flatiron,26-11-2018,929,0.122712594
Flatiron,27-11-2018,912,0.082236842
Flatiron,28-11-2018,951,0.112513144
Flatiron,29-11-2018,990,0.087878788
Flatiron,30-11-2018,951,0.099894848
Flatiron,01-12-2018,519,0.08477842
Flatiron,02-12-2018,547,0.067641682
Flatiron,03-12-2018,917,0.093784079
Flatiron,04-12-2018,926,0.109071274
Flatiron,05-12-2018,945,0.121693122
Flatiron,06-12-2018,923,0.104008667
Flatiron,07-12-2018,940,0.125531915
Flatiron,08-12-2018,516,0.137596899
Flatiron,09-12-2018,522,0.097701149
Flatiron,10-12-2018,940,0.109574468
Flatiron,11-12-2018,962,0.112266112
Flatiron,12-12-2018,913,0.122672508
Flatiron,13-12-2018,924,0.106060606
Flatiron,14-12-2018,951,0.10935857
Flatiron,15-12-2018,546,0.093406593
Flatiron,16-12-2018,492,0.097560976
Flatiron,17-12-2018,974,0.102669405
Flatiron,18-12-2018,941,0.107332625
Flatiron,19-12-2018,981,0.094801223
Flatiron,20-12-2018,991,0.091826438
Flatiron,21-12-2018,961,0.121748179
Flatiron,22-12-2018,540,0.122222222
Flatiron,23-12-2018,545,0.099082569
Flatiron,24-12-2018,999,0.111111111
Flatiron,25-12-2018,527,0.085388994
Flatiron,26-12-2018,982,0.104887984
Flatiron,27-12-2018,944,0.104872881
Flatiron,28-12-2018,992,0.158266129
Flatiron,29-12-2018,499,0.094188377
Flatiron,30-12-2018,502,0.109561753
Flatiron,31-12-2018,974,0.107802875
Midtown,01-01-2018,458,0
Midtown,02-01-2018,914,0
Midtown,03-01-2018,1027,0
Midtown,04-01-2018,936,0
Midtown,05-01-2018,864,0
Midtown,06-01-2018,396,0
Midtown,07-01-2018,435,0
Midtown,08-01-2018,979,0
Midtown,09-01-2018,1053,0
Midtown,10-01-2018,1045,0
Midtown,11-01-2018,1008,0
Midtown,12-01-2018,1026,0
Midtown,13-01-2018,560,0
Midtown,14-01-2018,484,0
Midtown,15-01-2018,524,0
Midtown,16-01-2018,1007,0
Midtown,17-01-2018,945,0
Midtown,18-01-2018,961,0
Midtown,19-01-2018,1012,0
Midtown,20-01-2018,568,0
Midtown,21-01-2018,568,0
Midtown,22-01-2018,1041,0
Midtown,23-01-2018,1058,0
Midtown,24-01-2018,1032,0
Midtown,25-01-2018,1025,0
Midtown,26-01-2018,1000,0
Midtown,27-01-2018,603,0
Midtown,28-01-2018,542,0
Midtown,29-01-2018,1056,0
Midtown,30-01-2018,946,0
Midtown,31-01-2018,951,0
Midtown,01-02-2018,1039,0
Midtown,02-02-2018,945,0
Midtown,03-02-2018,547,0
Midtown,04-02-2018,556,0
Midtown,05-02-2018,988,0
Midtown,06-02-2018,1025,0
Midtown,07-02-2018,973,0
Midtown,08-02-2018,981,0
Midtown,09-02-2018,1038,0
Midtown,10-02-2018,584,0
Midtown,11-02-2018,531,0
Midtown,12-02-2018,1068,0
Midtown,13-02-2018,949,0
Midtown,14-02-2018,1037,0
Midtown,15-02-2018,1042,0
Midtown,16-02-2018,1035,0
Midtown,17-02-2018,549,0
Midtown,18-02-2018,553,0
Midtown,19-02-2018,604,0
Midtown,20-02-2018,1051,0
Midtown,21-02-2018,1033,0
Midtown,22-02-2018,1044,0
Midtown,23-02-2018,1022,0
Midtown,24-02-2018,583,0
Midtown,25-02-2018,585,0
Midtown,26-02-2018,1003,0
Midtown,27-02-2018,1049,0
Midtown,28-02-2018,1069,0
Midtown,01-03-2018,1071,0
Midtown,02-03-2018,962,0
Midtown,03-03-2018,634,0
Midtown,04-03-2018,548,0
Midtown,05-03-2018,1040,0
Midtown,06-03-2018,1069,0
Midtown,07-03-2018,1012,0
Midtown,08-03-2018,1029,0
Midtown,09-03-2018,1020,0
Midtown,10-03-2018,535,0
Midtown,11-03-2018,508,0
Midtown,12-03-2018,1013,0
Midtown,13-03-2018,1043,0
Midtown,14-03-2018,1016,0
Midtown,15-03-2018,1038,0
Midtown,16-03-2018,1033,0
Midtown,17-03-2018,200,0
Midtown,18-03-2018,544,0
Midtown,19-03-2018,995,0
Midtown,20-03-2018,976,0
Midtown,21-03-2018,1026,0
Midtown,22-03-2018,1021,0
Midtown,23-03-2018,1060,0
Midtown,24-03-2018,558,0
Midtown,25-03-2018,564,0
Midtown,26-03-2018,1033,0
Midtown,27-03-2018,1016,0
Midtown,28-03-2018,1021,0
Midtown,29-03-2018,1026,0
Midtown,30-03-2018,1095,0
Midtown,31-03-2018,559,0
Midtown,01-04-2018,528,0
Midtown,02-04-2018,998,0
Midtown,03-04-2018,969,0
Midtown,04-04-2018,1060,0
Midtown,05-04-2018,995,0
Midtown,06-04-2018,1057,0
Midtown,07-04-2018,542,0
Midtown,08-04-2018,562,0
Midtown,09-04-2018,1057,0
Midtown,10-04-2018,1029,0
Midtown,11-04-2018,1025,0
Midtown,12-04-2018,1030,0
Midtown,13-04-2018,973,0
Midtown,14-04-2018,530,0
Midtown,15-04-2018,555,0
Midtown,16-04-2018,1004,0
Midtown,17-04-2018,989,0
Midtown,18-04-2018,1020,0
Midtown,19-04-2018,1015,0
Midtown,20-04-2018,1078,0
Midtown,21-04-2018,564,0
Midtown,22-04-2018,521,0
Midtown,23-04-2018,1017,0
Midtown,24-04-2018,1046,0
Midtown,25-04-2018,1017,0
Midtown,26-04-2018,976,0
Midtown,27-04-2018,1049,0
Midtown,28-04-2018,577,0
Midtown,29-04-2018,583,0
Midtown,30-04-2018,1038,0
Midtown,01-05-2018,946,0.075052854
Midtown,02-05-2018,987,0.128672746
Midtown,03-05-2018,963,0.10384216
Midtown,04-05-2018,1065,0.083568075
Midtown,05-05-2018,607,0.065897858
Midtown,06-05-2018,601,0.064891847
Midtown,07-05-2018,1042,0.090211132
Midtown,08-05-2018,1087,0.080036799
Midtown,09-05-2018,987,0.094224924
Midtown,10-05-2018,1116,0.116487455
Midtown,11-05-2018,1098,0.078324226
Midtown,12-05-2018,630,0.074603175
Midtown,13-05-2018,617,0.087520259
Midtown,14-05-2018,1089,0.078971534
Midtown,15-05-2018,1029,0.113702624
Midtown,16-05-2018,1039,0.096246391
Midtown,17-05-2018,1010,0.092079208
Midtown,18-05-2018,1093,0.094236048
Midtown,19-05-2018,626,0.092651757
Midtown,20-05-2018,522,0.105363985
Midtown,21-05-2018,1090,0.103669725
Midtown,22-05-2018,1037,0.094503375
Midtown,23-05-2018,1013,0.114511352
Midtown,24-05-2018,1069,0.090739008
Midtown,25-05-2018,982,0.121181263
Midtown,26-05-2018,529,0.134215501
Midtown,27-05-2018,594,0.095959596
Midtown,28-05-2018,594,0.094276094
Midtown,29-05-2018,1006,0.111332008
Midtown,30-05-2018,1052,0.107414449
Midtown,31-05-2018,1053,0.075973409
Midtown,01-06-2018,975,0.091282051
Midtown,02-06-2018,538,0.085501859
Midtown,03-06-2018,613,0.092985318
Midtown,04-06-2018,1028,0.104085603
Midtown,05-06-2018,1002,0.077844311
Midtown,06-06-2018,1100,0.100909091
Midtown,07-06-2018,1049,0.101048618
Midtown,08-06-2018,965,0.077720207
Midtown,09-06-2018,575,0.102608696
Midtown,10-06-2018,534,0.097378277
Midtown,11-06-2018,1035,0.107246377
Midtown,12-06-2018,1055,0.098578199
Midtown,13-06-2018,1020,0.105882353
Midtown,14-06-2018,957,0.109717868
Midtown,15-06-2018,1061,0.106503299
Midtown,16-06-2018,554,0.104693141
Midtown,17-06-2018,515,0.095145631
Midtown,18-06-2018,959,0.115745568
Midtown,19-06-2018,950,0.093684211
Midtown,20-06-2018,1010,0.098019802
Midtown,21-06-2018,1034,0.109284333
Midtown,22-06-2018,1015,0.099507389
Midtown,23-06-2018,576,0.098958333
Midtown,24-06-2018,581,0.106712565
Midtown,25-06-2018,1056,0.097537879
Midtown,26-06-2018,990,0.092929293
Midtown,27-06-2018,977,0.102354145
Midtown,28-06-2018,1035,0.104347826
Midtown,29-06-2018,940,0.10106383
Midtown,30-06-2018,463,0.105831533
Midtown,01-07-2018,460,0.091304348
Midtown,02-07-2018,905,0.110497238
Midtown,03-07-2018,994,0.128772636
Midtown,04-07-2018,511,0.095890411
Midtown,05-07-2018,922,0.122559653
Midtown,06-07-2018,976,0.12397541
Midtown,07-07-2018,571,0.08056042
Midtown,08-07-2018,501,0.111776447
Midtown,09-07-2018,925,0.090810811
Midtown,10-07-2018,899,0.109010011
Midtown,11-07-2018,1002,0.093812375
Midtown,12-07-2018,981,0.120285423
Midtown,13-07-2018,955,0.106806283
Midtown,14-07-2018,493,0.093306288
Midtown,15-07-2018,557,0.077199282
Midtown,16-07-2018,912,0.10745614
Midtown,17-07-2018,1020,0.139215686
Midtown,18-07-2018,942,0.102972399
Midtown,19-07-2018,979,0.101123596
Midtown,20-07-2018,983,0.104781282
Midtown,21-07-2018,524,0.103053435
Midtown,22-07-2018,536,0.074626866
Midtown,23-07-2018,998,0.106212425
Midtown,24-07-2018,922,0.098698482
Midtown,25-07-2018,1032,0.10755814
Midtown,26-07-2018,969,0.114551084
Midtown,27-07-2018,933,0.111468382
Midtown,28-07-2018,553,0.084990958
Midtown,29-07-2018,513,0.097465887
Midtown,30-07-2018,1013,0.110562685
Midtown,31-07-2018,920,0.095652174
Midtown,01-08-2018,968,0.123966942
Midtown,02-08-2018,958,0.133611691
Midtown,03-08-2018,957,0.099268548
Midtown,04-08-2018,482,0.151452282
Midtown,05-08-2018,547,0.100548446
Midtown,06-08-2018,952,0.092436975
Midtown,07-08-2018,957,0.10553814
Midtown,08-08-2018,953,0.108079748
Midtown,09-08-2018,916,0.090611354
Midtown,10-08-2018,981,0.109072375
Midtown,11-08-2018,603,0.124378109
Midtown,12-08-2018,511,0.082191781
Midtown,13-08-2018,1040,0.088461538
Midtown,14-08-2018,1010,0.10990099
Midtown,15-08-2018,1036,0.109073359
Midtown,16-08-2018,895,0.094972067
Midtown,17-08-2018,918,0.107843137
Midtown,18-08-2018,515,0.110679612
Midtown,19-08-2018,579,0.089810017
Midtown,20-08-2018,980,0.092857143
Midtown,21-08-2018,998,0.094188377
Midtown,22-08-2018,972,0.106995885
Midtown,23-08-2018,1030,0.091262136
Midtown,24-08-2018,1011,0.119683482
Midtown,25-08-2018,532,0.088345865
Midtown,26-08-2018,491,0.112016293
Midtown,27-08-2018,930,0.096774194
Midtown,28-08-2018,969,0.1124871
Midtown,29-08-2018,907,0.112458655
Midtown,30-08-2018,926,0.099352052
Midtown,31-08-2018,1047,0.104106972
Midtown,01-09-2018,510,0.109803922
Midtown,02-09-2018,573,0.087260035
Midtown,03-09-2018,475,0.086315789
Midtown,04-09-2018,920,0.136956522
Midtown,05-09-2018,980,0.112244898
Midtown,06-09-2018,942,0.122080679
Midtown,07-09-2018,1004,0.106573705
Midtown,08-09-2018,563,0.076376554
Midtown,09-09-2018,563,0.074600355
Midtown,10-09-2018,1041,0.108549472
Midtown,11-09-2018,1066,0.080675422
Midtown,12-09-2018,1030,0.1
Midtown,13-09-2018,1000,0.102
Midtown,14-09-2018,1003,0.112662014
Midtown,15-09-2018,554,0.083032491
Midtown,16-09-2018,523,0.101338432
Midtown,17-09-2018,1038,0.103082852
Midtown,18-09-2018,1088,0.134191176
Midtown,19-09-2018,920,0.117391304
Midtown,20-09-2018,1051,0.099904853
Midtown,21-09-2018,1053,0.085470085
Midtown,22-09-2018,610,0.085245902
Midtown,23-09-2018,575,0.067826087
Midtown,24-09-2018,1037,0.081002893
Midtown,25-09-2018,1104,0.144021739
Midtown,26-09-2018,995,0.108542714
Midtown,27-09-2018,1056,0.083333333
Midtown,28-09-2018,1063,0.091251176
Midtown,29-09-2018,594,0.090909091
Midtown,30-09-2018,615,0.087804878
Midtown,01-10-2018,1044,0.101532567
Midtown,02-10-2018,1032,0.085271318
Midtown,03-10-2018,1126,0.079928952
Midtown,04-10-2018,1094,0.106946984
Midtown,05-10-2018,1080,0.10462963
Midtown,06-10-2018,599,0.093489149
Midtown,07-10-2018,594,0.099326599
Midtown,08-10-2018,616,0.087662338
Midtown,09-10-2018,1086,0.102209945
Midtown,10-10-2018,1123,0.095280499
Midtown,11-10-2018,1161,0.134366925
Midtown,12-10-2018,1061,0.099905749
Midtown,13-10-2018,636,0.078616352
Midtown,14-10-2018,635,0.070866142
Midtown,15-10-2018,1101,0.086285195
Midtown,16-10-2018,1152,0.076388889
Midtown,17-10-2018,1133,0.093556929
Midtown,18-10-2018,1058,0.093572779
Midtown,19-10-2018,1138,0.084358524
Midtown,20-10-2018,612,0.088235294
Midtown,21-10-2018,604,0.091059603
Midtown,22-10-2018,1100,0.093636364
Midtown,23-10-2018,1162,0.100688468
Midtown,24-10-2018,1133,0.101500441
Midtown,25-10-2018,1187,0.096040438
Midtown,26-10-2018,1130,0.098230088
Midtown,27-10-2018,608,0.083881579
Midtown,28-10-2018,665,0.085714286
Midtown,29-10-2018,1165,0.092703863
Midtown,30-10-2018,1191,0.094038623
Midtown,31-10-2018,1160,0.092241379
Midtown,01-11-2018,1107,0.08401084
Midtown,02-11-2018,1029,0.102040816
Midtown,03-11-2018,612,0.06372549
Midtown,04-11-2018,953,0.051416579
Midtown,05-11-2018,1133,0.071491615
Midtown,06-11-2018,1188,0.11952862
Midtown,07-11-2018,1153,0.086730269
Midtown,08-11-2018,1119,0.089365505
Midtown,09-11-2018,1186,0.118887015
Midtown,10-11-2018,631,0.106180666
Midtown,11-11-2018,581,0.091222031
Midtown,12-11-2018,657,0.082191781
Midtown,13-11-2018,1168,0.089041096
Midtown,14-11-2018,1078,0.096474954
Midtown,15-11-2018,1102,0.153357532
Midtown,16-11-2018,1108,0.113718412
Midtown,17-11-2018,624,0.086538462
Midtown,18-11-2018,598,0.096989967
Midtown,19-11-2018,1176,0.091836735
Midtown,20-11-2018,1169,0.085543199
Midtown,21-11-2018,1123,0.10507569
Midtown,22-11-2018,583,0.10806175
Midtown,23-11-2018,1121,0.141837645
Midtown,24-11-2018,635,0.097637795
Midtown,25-11-2018,640,0.06875
Midtown,26-11-2018,1140,0.112280702
Midtown,27-11-2018,1122,0.109625668
Midtown,28-11-2018,1141,0.096406661
Midtown,29-11-2018,1189,0.091673675
Midtown,30-11-2018,1184,0.103885135
Midtown,01-12-2018,658,0.09118541
Midtown,02-12-2018,695,0.084892086
Midtown,03-12-2018,1184,0.107263514
Midtown,04-12-2018,1128,0.103723404
Midtown,05-12-2018,1085,0.103225806
Midtown,06-12-2018,1156,0.121107266
Midtown,07-12-2018,1122,0.112299465
Midtown,08-12-2018,553,0.12477396
Midtown,09-12-2018,586,0.104095563
Midtown,10-12-2018,1100,0.122727273
Midtown,11-12-2018,1165,0.126180258
Midtown,12-12-2018,1075,0.115348837
Midtown,13-12-2018,1151,0.106863597
Midtown,14-12-2018,1158,0.088082902
Midtown,15-12-2018,650,0.08
Midtown,16-12-2018,687,0.126637555
Midtown,17-12-2018,1169,0.094097519
Midtown,18-12-2018,1115,0.128251121
Midtown,19-12-2018,1131,0.105216622
Midtown,20-12-2018,1145,0.103056769
Midtown,21-12-2018,1146,0.130017452
Midtown,22-12-2018,635,0.08976378
Midtown,23-12-2018,672,0.107142857
Midtown,24-12-2018,1163,0.109200344
Midtown,25-12-2018,684,0.092105263
Midtown,26-12-2018,1099,0.098271156
Midtown,27-12-2018,1149,0.100957354
Midtown,28-12-2018,1177,0.135938828
Midtown,29-12-2018,584,0.089041096
Midtown,30-12-2018,618,0.111650485
Midtown,31-12-2018,1160,0.137068966
NYU,01-01-2018,976,0.1875
NYU,02-01-2018,1024,0.147460938
NYU,03-01-2018,1043,0.12464046
NYU,04-01-2018,1023,0.130009775
NYU,05-01-2018,977,0.178096213
NYU,06-01-2018,1003,0.166500499
NYU,07-01-2018,1047,0.164278892
NYU,08-01-2018,1124,0.128113879
NYU,09-01-2018,1141,0.095530237
NYU,10-01-2018,1206,0.116086235
NYU,11-01-2018,1219,0.0902379
NYU,12-01-2018,1200,0.101666667
NYU,13-01-2018,1133,0.12886143
NYU,14-01-2018,1116,0.138888889
NYU,15-01-2018,1174,0.13713799
NYU,16-01-2018,1229,0.118795769
NYU,17-01-2018,1165,0.135622318
NYU,18-01-2018,1222,0.132569558
NYU,19-01-2018,1237,0.126919968
NYU,20-01-2018,1286,0.102643857
NYU,21-01-2018,1335,0.09588015
NYU,22-01-2018,1232,0.095779221
NYU,23-01-2018,1310,0.08778626
NYU,24-01-2018,1285,0.127626459
NYU,25-01-2018,1253,0.115722267
NYU,26-01-2018,1259,0.106433678
